shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10008,45.514757,-73.844723,40032,6.600
S10008,45.514704,-73.844520,40033,6.617
S10008,45.514655,-73.844315,40034,6.634
S10008,45.514612,-73.844107,40035,6.651
S10008,45.514575,-73.843897,40036,6.668
S10008,45.514544,-73.843686,40037,6.685
S10008,45.514513,-73.843434,40038,6.705
S10008,45.514486,-73.843180,40039,6.725
S10008,45.514462,-73.842942,40040,6.744
S10008,45.514383,-73.842182,40041,6.804
S10008,45.513644,-73.835042,40042,7.367
S10008,45.513565,-73.834283,40043,7.428
S10008,45.513381,-73.832503,40044,7.568
S10008,45.513368,-73.832376,40045,7.578
S10008,45.513355,-73.832249,40046,7.588
S10008,45.513322,-73.831898,40047,7.616
S10008,45.513312,-73.831770,40048,7.626
S10008,45.513300,-73.831644,40049,7.636
S10008,45.513199,-73.830433,40050,7.731
S10008,45.513187,-73.830291,40051,7.742
S10008,45.513177,-73.830165,40052,7.752
S10008,45.513165,-73.830036,40053,7.762
S10008,45.513131,-73.829679,40054,7.791
S10008,45.513119,-73.829552,40055,7.801
S10008,45.513106,-73.829426,40056,7.811
S10008,45.513092,-73.829292,40057,7.821
S10008,45.512961,-73.828031,40058,7.921
S10008,45.512904,-73.827498,40059,7.963
S10008,45.512841,-73.826967,40060,8.005
S10008,45.512774,-73.826436,40061,8.047
S10008,45.512704,-73.825907,40062,8.089
S10008,45.512639,-73.825453,40063,8.125
S10008,45.512571,-73.824999,40064,8.162
S10008,45.512499,-73.824546,40065,8.198
S10008,45.512425,-73.824095,40066,8.234
S10008,45.512314,-73.823463,40067,8.285
S10008,45.512197,-73.822833,40068,8.336
S10008,45.512074,-73.822206,40069,8.387
S10008,45.511944,-73.821581,40070,8.438
S10008,45.511808,-73.820959,40071,8.489
S10008,45.511602,-73.820044,40072,8.564
S10008,45.511465,-73.819435,40073,8.614
S10008,45.511328,-73.818825,40074,8.664
S10008,45.511154,-73.818051,40075,8.727
S10008,45.511032,-73.817514,40076,8.771
S10008,45.510907,-73.816979,40077,8.815
S10008,45.510778,-73.816445,40078,8.859
S10008,45.510777,-73.816442,40079,8.860
S10008,45.510629,-73.815839,40080,8.909
S10008,45.510482,-73.815234,40081,8.959
S10008,45.510482,-73.815232,40082,8.960
S10008,45.510353,-73.814704,40083,9.003
S10008,45.510230,-73.814174,40084,9.047
S10008,45.510108,-73.813643,40085,9.090
S10008,45.509791,-73.812234,40086,9.206
S10008,45.509791,-73.812234,50001,9.206
S10008,45.508996,-73.808696,50002,9.496
S10008,45.508976,-73.808610,50003,9.503
S10008,45.508893,-73.808245,50004,9.533
S10008,45.508806,-73.807881,50005,9.563
S10008,45.508772,-73.807743,50006,9.575
S10008,45.508437,-73.806359,50007,9.689
S10008,45.508315,-73.805854,50008,9.731
S10008,45.508192,-73.805349,50009,9.773
S10008,45.508069,-73.804844,50010,9.814
S10008,45.507947,-73.804339,50011,9.856
S10008,45.507915,-73.804206,50012,9.867
S10008,45.507878,-73.804054,50013,9.879
S10008,45.507842,-73.803903,50014,9.892
S10008,45.507772,-73.803603,50015,9.917
S10008,45.507704,-73.803302,50016,9.941
S10008,45.507671,-73.803150,50017,9.954
S10008,45.507637,-73.802997,50018,9.966
S10008,45.507603,-73.802841,50019,9.979
S10008,45.507517,-73.802443,50020,10.012
S10008,45.507431,-73.802045,50021,10.044
S10008,45.507344,-73.801648,50022,10.077
S10008,45.507258,-73.801251,50023,10.109
S10008,45.506652,-73.798458,50024,10.338
S10008,45.506511,-73.797812,50025,10.390
S10008,45.504963,-73.790942,50026,10.954
S10008,45.504946,-73.790865,50027,10.960
S10008,45.504933,-73.790810,50028,10.965
S10008,45.504826,-73.790343,50029,11.003
S10008,45.504717,-73.789876,50030,11.042
S10008,45.504432,-73.788678,50031,11.140
S10008,45.504431,-73.788677,50032,11.141
S10008,45.504315,-73.788185,50033,11.181
S10008,45.504203,-73.787691,50034,11.222
S10008,45.504069,-73.787096,50035,11.271
S10008,45.503819,-73.785984,50036,11.362
S10008,45.503819,-73.785984,60001,11.362
S10008,45.503634,-73.785164,60002,11.429
S10008,45.503469,-73.784433,60003,11.489
S10008,45.503304,-73.783702,60004,11.549
S10008,45.503052,-73.782588,60005,11.640
S10008,45.502954,-73.782152,60006,11.676
S10008,45.502857,-73.781718,60007,11.712
S10008,45.502789,-73.781413,60008,11.737
S10008,45.502723,-73.781106,60009,11.762
S10008,45.502676,-73.780862,60010,11.781
S10008,45.502632,-73.780616,60011,11.801
S10008,45.502593,-73.780368,60012,11.821
S10008,45.502548,-73.780054,60013,11.846
S10008,45.502510,-73.779739,60014,11.871
S10008,45.502477,-73.779422,60015,11.896
S10008,45.502452,-73.779104,60016,11.921
S10008,45.502437,-73.778867,60017,11.940
S10008,45.502426,-73.778629,60018,11.959
S10008,45.502418,-73.778393,60019,11.977
S10008,45.502414,-73.778149,60020,11.996
S10008,45.502413,-73.777906,60021,12.015
S10008,45.502417,-73.777663,60022,12.034
S10008,45.502423,-73.777420,60023,12.053
S10008,45.502434,-73.777177,60024,12.072
S10008,45.502448,-73.776935,60025,12.091
S10008,45.502466,-73.776693,60026,12.110
S10008,45.502488,-73.776452,60027,12.129
S10008,45.502521,-73.776136,60028,12.154
S10008,45.502558,-73.775820,60029,12.179
S10008,45.502572,-73.775704,60030,12.188
S10008,45.502631,-73.775198,60031,12.228
S10008,45.502691,-73.774694,60032,12.268
S10008,45.502751,-73.774189,60033,12.308
S10008,45.502810,-73.773684,60034,12.348
S10008,45.502940,-73.772580,60035,12.436
S10008,45.502978,-73.772265,60036,12.461
S10008,45.503015,-73.771949,60037,12.486
S10008,45.503052,-73.771633,60038,12.511
S10008,45.503090,-73.771318,60039,12.536
S10008,45.503574,-73.767210,60040,12.861
S10008,45.503723,-73.765949,60041,12.961
S10008,45.503839,-73.764966,60042,13.039
S10008,45.503857,-73.764808,60043,13.051
S10008,45.503876,-73.764651,60044,13.064
S10008,45.503934,-73.764212,60045,13.099
S10008,45.503999,-73.763775,60046,13.134
S10008,45.504071,-73.763340,60047,13.168
S10008,45.504149,-73.762908,60048,13.203
S10008,45.504231,-73.762498,60049,13.237
S10008,45.504319,-73.762089,60050,13.270
S10008,45.504412,-73.761683,60051,13.303
S10008,45.504507,-73.761305,60052,13.335
S10008,45.504606,-73.760928,60053,13.366
S10008,45.504711,-73.760555,60054,13.398
S10008,45.504821,-73.760184,60055,13.429
S10008,45.504936,-73.759817,60056,13.460
S10008,45.505056,-73.759453,60057,13.492
S10008,45.505126,-73.759251,60058,13.509
S10008,45.505198,-73.759049,60059,13.527
S10008,45.505249,-73.758908,60060,13.540
S10008,45.505301,-73.758766,60061,13.552
